=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 40s
  [122/1224] 80s
  [183/1224] 122s
  [244/1224] 175s
  [305/1224] 223s
  [366/1224] 287s
  [427/1224] 327s
  [488/1224] 361s
  [549/1224] 404s
  [610/1224] 448s
  [671/1224] 506s
  [732/1224] 555s
  [793/1224] 601s
  [854/1224] 648s
  [915/1224] 691s
  [976/1224] 735s
  [1037/1224] 795s
  [1098/1224] 852s
  [1159/1224] 896s
  [1220/1224] 933s

Done in 941s

=== Per-pair results ===
     Totally Normal Team vs Disco Inferno         :   0W   8L   0D (  0.0% for Totally Normal Team, 8/8 decided)
             Spooky Team vs Supa Fitingu          :   3W   2L   3D ( 60.0% for Spooky Team, 5/8 decided)
             Spooky Team vs I Believe In Fairies  :   1W   7L   0D ( 12.5% for Spooky Team, 8/8 decided)
             Spooky Team vs Grounded Grounded Gro…:   4W   2L   2D ( 66.7% for Spooky Team, 6/8 decided)
             Spooky Team vs Ice Ice Baby          :   4W   0L   4D (100.0% for Spooky Team, 4/8 decided)
             Spooky Team vs Heavy Metal           :   3W   4L   1D ( 42.9% for Spooky Team, 7/8 decided)
             Spooky Team vs Stop Bugging Me       :   0W   8L   0D (  0.0% for Spooky Team, 8/8 decided)
             Spooky Team vs Electric Boogaloo     :   6W   1L   1D ( 85.7% for Spooky Team, 7/8 decided)
             Spooky Team vs Fly Away Now          :   0W   5L   3D (  0.0% for Spooky Team, 5/8 decided)
             Spooky Team vs Toxic Team            :   1W   3L   4D ( 25.0% for Spooky Team, 4/8 decided)
             Spooky Team vs Rock Hard             :   3W   1L   4D ( 75.0% for Spooky Team, 4/8 decided)
             Spooky Team vs RuPauls Dragon Race   :   3W   5L   0D ( 37.5% for Spooky Team, 8/8 decided)
             Spooky Team vs Soft and Wet          :   1W   4L   3D ( 20.0% for Spooky Team, 5/8 decided)
             Spooky Team vs Your Ass is Grass     :   8W   0L   0D (100.0% for Spooky Team, 8/8 decided)
             Spooky Team vs Brain Blast           :   3W   2L   3D ( 60.0% for Spooky Team, 5/8 decided)
             Spooky Team vs Disco Inferno         :   5W   1L   2D ( 83.3% for Spooky Team, 6/8 decided)
            Supa Fitingu vs I Believe In Fairies  :   2W   6L   0D ( 25.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Grounded Grounded Gro…:   6W   2L   0D ( 75.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Ice Ice Baby          :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Heavy Metal           :   5W   0L   3D (100.0% for Supa Fitingu, 5/8 decided)
